MarkerName	meta_OR	meta_SE	BioMe_OR	BioMe_SE	GOLDR_OR	GOLDR_SE	HTN_OR	HTN_SE	LALES_OR	LALES_SE	MACAD_OR	MACAD_SE	MC1_OR	MC1_SE	MC2_OR	MC2_SE	MESA_OR	MESA_SE	MVP_OR	MVP_SE	NIDDM_OR	NIDDM_SE	SanAntonio_OR	SanAntonio_SE	SC_OR	SC_SE	SIGMA_1_OR	SIGMA_1_SE	SIGMA_OR	SIGMA_SE	SOL_OR	SOL_SE	WHIHA_OR	WHIHA_SE
rs10882099	0.0954261	0.0240951	0.0344	0.02875	NA	NA	NA	NA	0.1168	0.05425	NA	NA	NA	NA	NA	NA	NA	NA	0.1083	0.0232	NA	NA	NA	NA	NA	NA	0.02033	0.04487	0.09688	0.04791	0.1115	0.04472	0.2375	0.09539
rs7903146	-0.217485	0.0486881	-0.08556	0.02922	NA	NA	NA	NA	-0.2141	0.0613	NA	NA	NA	NA	-0.2939	0.09478	NA	NA	-0.2279	0.0254	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.07166	0.1015
rs7074047	-0.111305	0.0218723	-0.1412	0.02862	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.03929	0.0944
rs2237897	0.319241	0.0419342	0.1798	0.03976	NA	NA	NA	NA	0.3094	0.06193	NA	NA	NA	NA	NA	NA	NA	NA	0.1928	0.0297	NA	NA	NA	NA	NA	NA	0.23	0.05472	0.3242	0.052	0.427	0.05738	0.247	0.1287
rs10830963	-0.132674	0.0360506	-0.1251	0.03777	NA	NA	NA	NA	0.03795	0.06277	NA	NA	NA	NA	NA	NA	NA	NA	-0.1175	0.0266	NA	NA	NA	NA	-0.329	0.2008	NA	NA	NA	NA	-0.252	0.05212	-0.1253	0.1058
rs74691299	0.112915	0.028744	0.1007	0.03906	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.1185	0.1576
rs1558902	-0.108682	0.0330736	-0.01593	0.03156	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.115	0.0257	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.1292	0.0495	-0.05419	0.1008
rs4785723	0.0909108	0.0177766	0.08434	0.02783	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.01162	0.0797	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.03033	0.09822
rs75418188	-0.0545005	0.0409629	-0.04447	0.04807	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0149	0.1344
rs16989540	-0.161126	0.042407	-0.1005	0.04511	NA	NA	NA	NA	-0.02838	0.07573	NA	NA	-0.642	0.1493	NA	NA	NA	NA	-0.1293	0.0356	NA	NA	NA	NA	-0.5702	0.2809	-0.0162	0.06587	-0.2443	0.0592	-0.1547	0.06682	-0.1018	0.1382
