gene	gene_name	n_snps_in_model	n_snps_used	pred_perf_r2	pred_perf_pval
ENSG00000007080	CCDC124	15	NA	0.06350493374415951	3.645327278193843e-11
ENSG00000007129	CEACAM21	15	NA	0.6065001034393733	2.0373152464671573e-137
ENSG00000007237	GAS7	31	NA	0.024177443987377374	5.3025057250708306e-05
ENSG00000007255	TRAPPC6A	9	NA	0.03534024784656282	9.550890267160137e-07
ENSG00000007264	MATK	9	NA	0.02337539936049083	7.083683712270153e-05
ENSG00000007341	ST7L	12	NA	0.0826840910978402	3.199507747120272e-14
ENSG00000007376	RPUSD1	33	NA	0.031338822762708794	4.023731088898411e-06
ENSG00000007516	BAIAP3	69	NA	0.21727874504285383	1.920244885044595e-37
ENSG00000007520	TSR3	4	NA	0.017525742371323975	0.000591615665310865
ENSG00000007541	PIGQ	4	NA	0.02345552422268096	6.881593596594709e-05
ENSG00000007545	CRAMP1	31	NA	0.05473766774469016	8.793857615271159e-10
ENSG00000007866	TEAD3	4	NA	0.02270854878007204	9.01406385677368e-05
ENSG00000008018	PSMB1	9	NA	0.11696273425286362	8.083488139584457e-20
ENSG00000008083	JARID2	14	NA	0.05892933328832365	1.924207828790315e-10
ENSG00000008128	CDK11A	64	NA	0.21466067198378055	5.892868521164923e-37
ENSG00000008277	ADAM22	8	NA	0.015014439120832307	0.0014841819937219081
ENSG00000008283	CYB561	5	NA	0.012746093200834625	0.0034311759964895023
ENSG00000008311	AASS	7	NA	0.07034827731628834	2.9960883430830966e-12
ENSG00000008324	SS18L2	5	NA	0.012230863658136802	0.004155815552192358
ENSG00000008382	MPND	26	NA	0.055327166816986385	7.103569418384044e-10
ENSG00000008438	PGLYRP1	4	NA	0.04633267844548708	1.8304690449474246e-08
ENSG00000008513	ST3GAL1	32	NA	0.05530003521905543	7.173713104299428e-10
ENSG00000008516	MMP25	52	NA	0.3692889405597894	7.046526761317951e-69
ENSG00000008517	IL32	13	NA	0.2001455118908857	2.7658757652651383e-34
ENSG00000008735	MAPK8IP2	11	NA	0.02697792461703067	1.932012464507797e-05
ENSG00000008838	MED24	17	NA	0.12742797992813074	1.4456210401097555e-21
ENSG00000008869	HEATR5B	1	NA	0.02296483479029304	8.21650552869909e-05
ENSG00000008988	RPS20	11	NA	0.05924825321843627	1.713828229333181e-10
ENSG00000009335	UBE3C	11	NA	0.020677905063549322	0.000188014953909719
ENSG00000009413	REV3L	8	NA	0.01980999355560309	0.00025760779968544056
ENSG00000009790	TRAF3IP3	17	NA	0.2980873491980072	2.5659588072548663e-53
ENSG00000009830	POMT2	32	NA	0.08237074860450455	3.592693204586369e-14
ENSG00000009844	VTA1	13	NA	0.018948225550233802	0.00035235035081862206
ENSG00000009950	MLXIPL	4	NA	0.014645858448206713	0.0016997779080371838
ENSG00000010030	ETV7	26	NA	0.431973295926517	4.265561418873807e-84
ENSG00000010072	SPRTN	3	NA	0.013739101069321311	0.002375046136331216
ENSG00000010165	EEF1AKNMT	14	NA	0.14392487172138635	2.3201463556953715e-24
ENSG00000010219	DYRK4	19	NA	0.23437633502569521	1.157354980787081e-40
ENSG00000010270	STARD3NL	4	NA	0.040206879592861886	1.660637199088891e-07
ENSG00000010278	CD9	49	NA	0.24764594381670701	3.2776553949566095e-43
ENSG00000010282	HHATL	40	NA	0.020058915619927512	0.00023534894753090934
ENSG00000010292	NCAPD2	12	NA	0.3010875274206142	6.106089371354087e-54
ENSG00000010295	IFFO1	5	NA	0.16316136462925512	1.101926329568422e-27
ENSG00000010310	GIPR	5	NA	0.021695769686069403	0.00013002944677660485
ENSG00000010327	STAB1	10	NA	0.08564308117780549	1.0691544130928907e-14
ENSG00000010361	FUZ	27	NA	0.06758019041878724	8.245037379729434e-12
ENSG00000010379	SLC6A13	18	NA	0.025039887641132498	3.884559210814276e-05
ENSG00000010539	ZNF200	20	NA	0.15184410358143638	1.0139603555141249e-25
ENSG00000010626	LRRC23	13	NA	0.17278048092627135	2.2538775341912975e-29
ENSG00000011007	ELOA	5	NA	0.1395909677201736	1.2720666273348097e-23
ENSG00000011009	LYPLA2	3	NA	0.014663846419763442	0.001688556190726044
ENSG00000011021	CLCN6	28	NA	0.3266326573717475	2.3292599183922014e-59
ENSG00000011105	TSPAN9	4	NA	0.013867502326528443	0.002264989519793947
ENSG00000011114	BTBD7	16	NA	0.09260330355080222	8.020539121851928e-16
ENSG00000011132	APBA3	10	NA	0.09946658455016169	6.134960386875472e-17
ENSG00000011198	ABHD5	9	NA	0.015139053343322842	0.0014177182094832
ENSG00000011258	MBTD1	5	NA	0.024455730579047374	4.795827947733353e-05
ENSG00000011260	UTP18	4	NA	0.11019699016127865	1.0650542492276258e-18
ENSG00000011275	RNF216	21	NA	0.013848916866903888	0.0022805945446898474
ENSG00000011295	TTC19	2	NA	0.17198365568122884	3.1158367189168375e-29
ENSG00000011376	LARS2	13	NA	0.0413285290428252	1.1093306137080965e-07
ENSG00000011454	RABGAP1	2	NA	0.020940650662460276	0.00017093381427074866
ENSG00000011478	QPCTL	7	NA	0.013154887673161968	0.002948340612480105
ENSG00000011485	PPP5C	5	NA	0.45359525488101543	9.774804088457472e-90
ENSG00000011523	CEP68	9	NA	0.21018939990152247	3.965969291785292e-36
ENSG00000011600	TYROBP	2	NA	0.012208830595073375	0.004190057426649173
ENSG00000011638	TMEM159	17	NA	0.04844083973843864	8.559022075706746e-09
ENSG00000012061	ERCC1	7	NA	0.031249216047754234	4.155463954544196e-06
ENSG00000012124	CD22	7	NA	0.01308030803474775	0.003030986858560208
ENSG00000012660	ELOVL5	15	NA	0.03780238103321279	3.9421143014700657e-07
ENSG00000012779	ALOX5	13	NA	0.027733542365365238	1.4718064133371928e-05
ENSG00000012963	UBR7	3	NA	0.02766495433287811	1.508599664196298e-05
ENSG00000013016	EHD3	19	NA	0.045085544309645544	2.868910536934028e-08
ENSG00000013288	MAN2B2	18	NA	0.23929353140006013	1.3316849899741433e-41
ENSG00000013306	SLC25A39	5	NA	0.03362660528335005	1.7680831443377964e-06
ENSG00000013364	MVP	10	NA	0.041845148689205004	9.21171904031164e-08
ENSG00000013374	NUB1	22	NA	0.09408351812699274	4.613664681610741e-16
ENSG00000013375	PGM3	18	NA	0.02061113735578771	0.00019262228633229044
ENSG00000013392	RWDD2A	9	NA	0.0322002092303924	2.9522357776654227e-06
ENSG00000013523	ANGEL1	26	NA	0.09820524400557766	9.852219573191161e-17
ENSG00000013561	RNF14	14	NA	0.07879811724522015	1.343898774033386e-13
ENSG00000013573	DDX11	40	NA	0.709615247683698	1.5734936607735792e-181
ENSG00000013583	HEBP1	7	NA	0.1138781930414229	2.6246243650569966e-19
ENSG00000013725	CD6	18	NA	0.011959199013173202	0.004598620266811883
ENSG00000013810	TACC3	8	NA	0.12801239379903553	1.1531845462627957e-21
ENSG00000014123	UFL1	11	NA	0.04657435533253261	1.6777684677698926e-08
ENSG00000014138	POLA2	5	NA	0.09056135982190221	1.7177175499216506e-15
ENSG00000014164	ZC3H3	36	NA	0.5115992258063686	4.848490227048392e-106
ENSG00000014216	CAPN1	7	NA	0.19233911347678684	7.230660809320025e-33
ENSG00000014257	ACPP	24	NA	0.16197094262425074	1.777915149337087e-27
ENSG00000014919	COX15	21	NA	0.01976288525232758	0.00026205257707217
ENSG00000015133	CCDC88C	12	NA	0.021998478511897426	0.00011653587677843213
ENSG00000015153	YAF2	8	NA	0.02786543037232364	1.4035630439654036e-05
ENSG00000015676	NUDCD3	31	NA	0.1526348236584257	7.406615561079922e-26
ENSG00000017797	RALBP1	14	NA	0.41459122924206737	1.02576962145158e-79
ENSG00000018189	RUFY3	5	NA	0.025176702027805427	3.697544280049531e-05
ENSG00000018280	SLC11A1	14	NA	0.19373640559120187	4.0407448383953427e-33
ENSG00000018510	AGPS	28	NA	0.0718627688174245	1.7203106883437294e-12
ENSG00000018699	TTC27	9	NA	0.05896464195502429	1.8997013481246546e-10
ENSG00000019102	VSIG2	5	NA	0.020492784772447023	0.0002010697681154685
ENSG00000019169	MARCO	28	NA	0.2652899350368939	1.1441746392987806e-46
ENSG00000019485	PRDM11	11	NA	0.010160240855660163	0.009031154942050198
ENSG00000020181	ADGRA2	6	NA	0.08707536208430264	6.2828720835281535e-15
ENSG00000020922	MRE11	6	NA	0.3104489126017792	6.655178400117337e-56
ENSG00000021300	PLEKHB1	7	NA	0.032465410539131594	2.6838139979731323e-06
ENSG00000021355	SERPINB1	12	NA	0.05997649188318955	1.315538406588715e-10
ENSG00000021488	SLC7A9	21	NA	0.10883347845995817	1.786953502420955e-18
ENSG00000021762	OSBPL5	25	NA	0.1581004688804593	8.384288226936012e-27
ENSG00000021852	C8B	11	NA	0.2873945865212152	4.075327194550348e-51
ENSG00000022556	NLRP2	36	NA	0.3402603502187985	2.469899770241573e-62
ENSG00000022567	SLC45A4	18	NA	0.31546019353096183	5.776835350427154e-57
ENSG00000022976	ZNF839	13	NA	0.016528705811094394	0.0008516622651648446
ENSG00000023041	ZDHHC6	5	NA	0.04583936722520488	2.186599922955079e-08
ENSG00000023171	GRAMD1B	30	NA	0.1072835297309389	3.2152250904829484e-18
ENSG00000023191	RNH1	31	NA	0.17928532328199465	1.5845039168738294e-30
ENSG00000023445	BIRC3	3	NA	0.05096288837052896	3.443647518429072e-09
ENSG00000023516	AKAP11	4	NA	0.019143954183650308	0.00032814199335052743
ENSG00000023572	GLRX2	6	NA	0.038226820897524515	3.3842848699493417e-07
ENSG00000023608	SNAPC1	29	NA	0.17964638165294988	1.3665811788777436e-30
ENSG00000023734	STRAP	1	NA	0.012199377866295063	0.004204835697523334
ENSG00000023839	ABCC2	20	NA	0.025959511374505466	2.788385439237606e-05
ENSG00000023892	DEF6	9	NA	0.24437915938232715	1.4024498098644104e-42
ENSG00000023902	PLEKHO1	12	NA	0.02177516567647342	0.00012634548090738627
ENSG00000023909	GCLM	3	NA	0.010743872167865362	0.007248456954581658
ENSG00000024048	UBR2	6	NA	0.014124233121086911	0.002060155755384533
ENSG00000024862	CCDC28A	25	NA	0.08240136748037637	3.552237328793392e-14
ENSG00000025039	RRAGD	11	NA	0.048249985192410326	9.16907586556018e-09
ENSG00000025156	HSF2	15	NA	0.2367943047853078	4.003447828316649e-41
ENSG00000025434	NR1H3	11	NA	0.03861845366778363	2.9398294145532427e-07
ENSG00000025708	TYMP	15	NA	0.3380056720296409	7.744484834555884e-62
ENSG00000025772	TOMM34	19	NA	0.3970063214292528	2.0581316951701734e-75
ENSG00000026103	FAS	18	NA	0.10841638132155429	2.0931485969812607e-18
ENSG00000026297	RNASET2	20	NA	0.49258753293256097	1.7104131747130647e-100
ENSG00000026508	CD44	12	NA	0.012966776794713421	0.0031613282555730936
ENSG00000026652	AGPAT4	24	NA	0.08221035096808213	3.812254036127917e-14
ENSG00000026950	BTN3A1	25	NA	0.07889185329531952	1.2982454043913666e-13
ENSG00000027001	MIPEP	22	NA	0.013856762600205373	0.002273993759023139
ENSG00000027697	IFNGR1	34	NA	0.04702460921999861	1.4264008177939825e-08
ENSG00000027847	B4GALT7	6	NA	0.47380128630988205	3.2726643359150076e-95
ENSG00000028116	VRK2	11	NA	0.05325306432133181	1.504860362710916e-09
ENSG00000028203	VEZT	10	NA	0.03210616743715783	3.0537369496319524e-06
ENSG00000028528	SNX1	20	NA	0.07582764109219546	4.0123486656092556e-13
ENSG00000028839	TBPL1	32	NA	0.014173805840728517	0.0020228156587259296
ENSG00000029364	SLC39A9	15	NA	0.20436757020226495	4.673717560233379e-35
ENSG00000029534	ANK1	14	NA	0.014223485442918017	0.001986081473566025
ENSG00000029639	TFB1M	33	NA	0.014739039162513115	0.001642452141885457
ENSG00000029725	RABEP1	13	NA	0.17192650652978111	3.1890172011642785e-29
ENSG00000030066	NUP160	13	NA	0.02002190494796313	0.00023853191664609719
ENSG00000030110	BAK1	26	NA	0.5563199872423359	5.464448621529938e-120
ENSG00000030582	GRN	4	NA	0.10729061490779519	3.2066101897702923e-18
ENSG00000031081	ARHGAP31	15	NA	0.024466288964971925	4.777590721156067e-05
ENSG00000031691	CENPQ	22	NA	0.19532831962861547	2.0798287447085402e-33
ENSG00000031698	SARS	17	NA	0.01876039653964596	0.0003772695875898466
ENSG00000031823	RANBP3	15	NA	0.01349625635157239	0.002598219886122539
ENSG00000032389	EIPR1	5	NA	0.05327415001458244	1.4934265695394034e-09
ENSG00000032444	PNPLA6	22	NA	0.03309136221773311	2.1431153401402352e-06
ENSG00000032742	IFT88	19	NA	0.21069934704345025	3.192601689919186e-36
ENSG00000033030	ZCCHC8	21	NA	0.029087980713523923	9.039977330876753e-06
ENSG00000033050	ABCF2	18	NA	0.13554110185714183	6.193355020939277e-23
ENSG00000033100	CHPF2	28	NA	0.053251801609708084	1.50554783953728e-09
ENSG00000033170	FUT8	32	NA	0.07256394320719958	1.3303118977866423e-12
ENSG00000033178	UBA6	22	NA	0.15072119979053894	1.5831345645887593e-25
ENSG00000033627	ATP6V0A1	10	NA	0.05014594539365511	4.6254677556867685e-09
ENSG00000033800	PIAS1	29	NA	0.13005867319569214	5.2207672432216045e-22
ENSG00000034677	RNF19A	16	NA	0.017908498159686325	0.0005145251192287881
ENSG00000034713	GABARAPL2	13	NA	0.014119116622547499	0.0020640491701805785
ENSG00000034971	MYOC	14	NA	0.010592073705605422	0.007674382787166212
ENSG00000035115	SH3YL1	17	NA	0.40587828599288117	1.4409194802443367e-77
ENSG00000035141	FAM136A	6	NA	0.015224752945450948	0.001373761534413633
ENSG00000035403	VCL	26	NA	0.0652389803500532	1.9377418975799818e-11
ENSG00000035664	DAPK2	7	NA	0.0630619500714093	4.2834086047951695e-11
ENSG00000035681	NSMAF	5	NA	0.03617842440875834	7.066787338126992e-07
ENSG00000035687	ADSS	21	NA	0.17745121714503487	3.356534157412462e-30
ENSG00000035720	STAP1	11	NA	0.020011989196286734	0.00023939200882992892
ENSG00000035862	TIMP2	12	NA	0.055873958973903216	5.827192080001958e-10
ENSG00000035928	RFC1	7	NA	0.015156227556132681	0.0014087969317712777
ENSG00000036054	TBC1D23	8	NA	0.01243390933513329	0.0038533225512323186
ENSG00000036448	MYOM2	46	NA	0.5213552776086222	5.684117800260862e-109
ENSG00000037042	TUBG2	7	NA	0.024566546680753004	4.6078456764767965e-05
ENSG00000037280	FLT4	17	NA	0.18358735123123032	2.706945966047054e-31
ENSG00000037474	NSUN2	16	NA	0.26033847411149763	1.0885020730117524e-45
ENSG00000037637	FBXO42	10	NA	0.03761535463648563	4.2162450073162085e-07
ENSG00000037757	MRI1	33	NA	0.14748459932116562	5.700229500767747e-25
ENSG00000038002	AGA	6	NA	0.573610798475863	9.222954850721019e-126
ENSG00000038219	BOD1L1	15	NA	0.13374639176219058	1.2462222040636162e-22
ENSG00000038358	EDC4	8	NA	0.026727655795149744	2.1142551642681745e-05
ENSG00000038382	TRIO	15	NA	0.018562639012673257	0.000405424954661036
ENSG00000038427	VCAN	16	NA	0.01185130964274042	0.004787509168141062
ENSG00000038532	CLEC16A	13	NA	0.01600814351551647	0.0010305263960225595
ENSG00000038945	MSR1	57	NA	0.2953809073099321	9.320456796007456e-53
ENSG00000039123	MTREX	8	NA	0.01548141646580347	0.0012501716925576018
ENSG00000039523	RIPOR1	3	NA	0.028979999749197013	9.398072128535023e-06
ENSG00000039650	PNKP	34	NA	0.2055160880808313	2.8768779703428845e-35
ENSG00000040199	PHLPP2	16	NA	0.016527648385471768	0.0008519918695751958
ENSG00000040275	SPDL1	11	NA	0.09856210792954344	8.616991353907718e-17
ENSG00000040487	SLC66A1	18	NA	0.16671394921274443	2.6330243853810264e-28
ENSG00000040531	CTNS	31	NA	0.11650066146447768	9.645422050094942e-20
ENSG00000040633	PHF23	3	NA	0.03267975642540549	2.4848123928448374e-06
ENSG00000040933	INPP4A	8	NA	0.021989931843325608	0.00011689684935135773
ENSG00000041357	PSMA4	20	NA	0.09972955562340655	5.557635102814179e-17
ENSG00000041802	LSG1	32	NA	0.4515463081324465	3.419813450692239e-89
ENSG00000041880	PARP3	25	NA	0.02565659621871478	3.110067255561631e-05
ENSG00000041988	THAP3	15	NA	0.07175833457473653	1.7874393045163239e-12
ENSG00000042088	TDP1	16	NA	0.03805207938286993	3.6036913860569435e-07
ENSG00000042286	AIFM2	23	NA	0.030134686135581647	6.2038488446614204e-06
ENSG00000042429	MED17	9	NA	0.050284758174469237	4.399333830914902e-09
ENSG00000042445	RETSAT	8	NA	0.2555645340538146	9.419055748748866e-45
ENSG00000042493	CAPG	31	NA	0.2645982857794806	1.5687058895197336e-46
ENSG00000042753	AP2S1	6	NA	0.022062746837565265	0.00011385707149233712
ENSG00000042832	TG	27	NA	0.01301750474712621	0.003102401457476327
ENSG00000042980	ADAM28	34	NA	0.08572677870216414	1.0364699881755016e-14
ENSG00000043462	LCP2	25	NA	0.08444961687791358	1.6641680551935957e-14
ENSG00000043514	TRIT1	31	NA	0.19503537695266138	2.3504251651283087e-33
ENSG00000043591	ADRB1	2	NA	0.08871298459024077	3.418259800895852e-15
ENSG00000044090	CUL7	16	NA	0.2585778078893478	2.4163429875464755e-45
ENSG00000044115	CTNNA1	5	NA	0.4237336945627345	5.285955039501374e-82
ENSG00000044459	CNTLN	5	NA	0.05638146335811702	4.848371644796492e-10
ENSG00000047056	WDR37	12	NA	0.05642960561343316	4.764514513708254e-10
ENSG00000047188	YTHDC2	12	NA	0.20781022324595638	1.0891380293983217e-35
ENSG00000047315	POLR2B	6	NA	0.011210480877471708	0.006083965443659846
ENSG00000047346	FAM214A	16	NA	0.01933603230051325	0.00030601124355726596
ENSG00000047365	ARAP2	22	NA	0.11902267317854265	3.673857408280668e-20
ENSG00000047578	KIAA0556	11	NA	0.011480974881467546	0.005497996024287362
ENSG00000047579	DTNBP1	34	NA	0.12758549081092532	1.3602088267799886e-21
ENSG00000047849	MAP4	4	NA	0.08857389007504186	3.599762407241002e-15
ENSG00000048028	USP28	11	NA	0.010445095644215401	0.008111113336362729
ENSG00000048140	TSPAN17	4	NA	0.016123782471693732	0.000987770821930023
ENSG00000048162	NOP16	16	NA	0.048562630292673124	8.191088208444457e-09
ENSG00000048342	CC2D2A	13	NA	0.07684273691191355	2.7618624541956184e-13
ENSG00000048392	RRM2B	11	NA	0.04188929241442776	9.06656477445844e-08
ENSG00000048471	SNX29	35	NA	0.03858152476526268	2.979119647521965e-07
ENSG00000048544	MRPS10	20	NA	0.28385064954722	2.149944273690468e-50
ENSG00000048649	RSF1	8	NA	0.019079759750216783	0.0003358916092801418
ENSG00000048707	VPS13D	5	NA	0.013117700991957429	0.002989260109589225
ENSG00000049089	COL9A2	7	NA	0.023806633012313557	6.0620465105900515e-05
ENSG00000049167	ERCC8	11	NA	0.0738793496474426	8.209521843658392e-13
ENSG00000049192	ADAMTS6	4	NA	0.021125764189689717	0.00015984373666255017
ENSG00000049239	H6PD	27	NA	0.17722329882181548	3.6842818956946975e-30
ENSG00000049245	VAMP3	55	NA	0.22196465184590924	2.5572896167319854e-38
ENSG00000049246	PER3	20	NA	0.07730860843450096	2.326570178016167e-13
ENSG00000049247	UTS2	66	NA	0.3470825730487867	7.59662926134272e-64
ENSG00000049449	RCN1	43	NA	0.07008358643391407	3.3009235170774007e-12
ENSG00000049541	RFC2	11	NA	0.10414722342777538	1.0524388991860681e-17
ENSG00000049759	NEDD4L	10	NA	0.02705116809507155	1.881716600887218e-05
ENSG00000049860	HEXB	11	NA	0.14709896267837247	6.638203180614475e-25
ENSG00000050130	JKAMP	13	NA	0.019043110335055645	0.00034039822621146856
ENSG00000050165	DKK3	15	NA	0.08764541780848091	5.083724323440396e-15
ENSG00000050327	ARHGEF5	9	NA	0.031027623189877826	4.500064520569443e-06
ENSG00000050344	NFE2L3	11	NA	0.10670597279036619	4.0009908198020444e-18
ENSG00000050393	MCUR1	44	NA	0.042697542394343556	6.778415442000287e-08
ENSG00000050405	LIMA1	16	NA	0.0397028820914214	1.990618960756001e-07
ENSG00000050426	LETMD1	20	NA	0.03922161462310217	2.3666990030956912e-07
ENSG00000050438	SLC4A8	22	NA	0.04313771646089701	5.7852589163623995e-08
ENSG00000050555	LAMC3	18	NA	0.10320157405513047	1.5036974069824367e-17
ENSG00000050730	TNIP3	13	NA	0.011825854020605082	0.004833213758281148
ENSG00000050748	MAPK9	28	NA	0.19456137465833145	2.8645530576292988e-33
ENSG00000050767	COL23A1	51	NA	0.11973993094434238	2.7906337608124115e-20
ENSG00000050820	BCAR1	7	NA	0.031528767146419466	3.7581426445576545e-06
ENSG00000051009	FAM160A2	28	NA	0.24782467914613696	3.026523759029622e-43
ENSG00000051108	HERPUD1	6	NA	0.01261606436573534	0.0036009908918349367
ENSG00000051128	HOMER3	19	NA	0.015125058578105371	0.0014250300647644701
ENSG00000051523	CYBA	31	NA	0.05936332464590211	1.6436944694829715e-10
ENSG00000051596	THOC3	8	NA	0.16341960880703307	9.93219511033442e-28
ENSG00000051620	HEBP2	36	NA	0.16383217996427427	8.413063127601914e-28
ENSG00000051825	MPHOSPH9	8	NA	0.017327271503985803	0.0006360669424144753
ENSG00000052126	PLEKHA5	6	NA	0.010156435472713075	0.009044141994983275
ENSG00000052749	RRP12	10	NA	0.34375629876239006	4.1667228407524326e-63
ENSG00000052795	FNIP2	4	NA	0.029599860375182314	7.5196695306046015e-06
